DateCrawled,Price,VehicleType,RegistrationYear,Gearbox,Power,Model,Mileage,RegistrationMonth,FuelType,Brand,NotRepaired,DateCreated,NumberOfPictures,PostalCode,LastSeen
02/04/2016 23:36,1900,wagon,1989,auto,132,other,150000,6,petrol,mercedes_benz,no,02/04/2016 00:00,0,80935,07/04/2016 09:15
20/03/2016 13:36,1499,sedan,1999,manual,102,a_klasse,150000,6,petrol,mercedes_benz,no,20/03/2016 00:00,0,53177,31/03/2016 20:15
25/03/2016 10:37,3500,,2016,auto,0,3er,150000,0,,bmw,no,25/03/2016 00:00,0,21079,06/04/2016 09:45
03/04/2016 09:02,10500,convertible,2009,manual,126,mx_reihe,90000,9,petrol,mazda,no,03/04/2016 00:00,0,51147,07/04/2016 10:45
19/03/2016 10:47,1400,small,2003,manual,60,c3,150000,3,petrol,citroen,no,19/03/2016 00:00,0,75223,22/03/2016 18:46
24/03/2016 15:55,990,small,2000,manual,58,twingo,150000,8,petrol,renault,,24/03/2016 00:00,0,59823,26/03/2016 01:17
14/03/2016 18:54,3800,other,2004,manual,115,other,150000,7,gasoline,opel,,14/03/2016 00:00,0,72517,20/03/2016 08:46
29/03/2016 03:02,2190,bus,2002,manual,95,kangoo,150000,10,petrol,renault,no,29/03/2016 00:00,0,27749,05/04/2016 17:26
17/03/2016 17:45,6100,suv,2006,auto,280,touareg,80000,2,petrol,volkswagen,yes,17/03/2016 00:00,0,58339,17/03/2016 17:45
13/03/2016 15:41,3000,,2017,manual,0,focus,150000,0,petrol,ford,,13/03/2016 00:00,0,24534,20/03/2016 14:19
24/03/2016 15:36,2000,small,2005,manual,80,corsa,125000,9,petrol,opel,yes,24/03/2016 00:00,0,12309,03/04/2016 06:47
30/03/2016 20:57,8650,wagon,2008,manual,150,159,150000,5,gasoline,alfa_romeo,no,30/03/2016 00:00,0,6688,05/04/2016 11:45
01/04/2016 10:52,6999,wagon,2008,manual,170,passat,150000,10,gasoline,volkswagen,no,31/03/2016 00:00,0,78462,07/04/2016 03:45
31/03/2016 16:37,7800,wagon,2006,auto,163,c_klasse,125000,10,petrol,mercedes_benz,no,31/03/2016 00:00,0,70372,06/04/2016 09:17
19/03/2016 18:45,2499,small,2005,manual,68,other,150000,10,gasoline,mazda,no,19/03/2016 00:00,0,26197,07/04/2016 05:45
07/03/2016 22:54,7900,wagon,2009,manual,105,a3,150000,7,gasoline,audi,no,07/03/2016 00:00,0,63594,09/03/2016 12:17
21/03/2016 18:57,400,wagon,1998,manual,100,,125000,7,,fiat,yes,21/03/2016 00:00,0,39517,04/04/2016 19:46
16/03/2016 20:51,7499,suv,2006,manual,136,x_trail,150000,3,gasoline,nissan,no,16/03/2016 00:00,0,80639,07/04/2016 07:45
25/03/2016 11:25,1500,,2017,manual,130,mondeo,150000,6,gasoline,ford,,25/03/2016 00:00,0,56332,25/03/2016 11:38
24/03/2016 15:52,2600,wagon,2007,manual,136,focus,150000,1,gasoline,ford,no,24/03/2016 00:00,0,29664,07/04/2016 07:46
31/03/2016 19:54,9500,,2006,,200,tt,150000,0,,audi,,31/03/2016 00:00,0,65185,02/04/2016 13:29
26/03/2016 22:36,9800,sedan,2007,manual,163,3er,150000,5,gasoline,bmw,no,26/03/2016 00:00,0,74074,07/04/2016 02:46
21/03/2016 20:54,3100,sedan,2005,manual,75,golf,150000,11,petrol,volkswagen,,21/03/2016 00:00,0,61191,05/04/2016 23:46
10/03/2016 15:45,749,small,1997,manual,60,clio,125000,11,petrol,renault,no,10/03/2016 00:00,0,41061,11/03/2016 15:45
31/03/2016 15:55,5700,wagon,2005,auto,140,a3,150000,3,gasoline,audi,yes,31/03/2016 00:00,0,47198,06/04/2016 09:45
18/03/2016 15:47,3100,sedan,2009,,0,passat,150000,11,gasoline,volkswagen,no,18/03/2016 00:00,0,64747,18/03/2016 15:47
11/03/2016 10:48,100,,2000,,90,tigra,150000,4,,opel,yes,11/03/2016 00:00,0,26169,06/04/2016 23:46
06/04/2016 13:25,1111,sedan,2001,auto,276,s_type,90000,9,petrol,jaguar,yes,06/04/2016 00:00,0,53547,06/04/2016 13:25
03/04/2016 04:58,13999,suv,2008,auto,0,qashqai,150000,4,gasoline,nissan,no,03/04/2016 00:00,0,91090,07/04/2016 10:16
04/04/2016 18:41,400,small,1997,manual,50,polo,150000,7,petrol,volkswagen,yes,04/04/2016 00:00,0,72393,06/04/2016 20:44
12/03/2016 18:51,400,small,1998,manual,140,3er,150000,3,petrol,bmw,,12/03/2016 00:00,0,2727,16/03/2016 23:17
20/03/2016 17:47,15800,sedan,2007,manual,265,other,150000,3,petrol,audi,no,20/03/2016 00:00,0,94474,07/04/2016 00:44
10/03/2016 11:50,7600,sedan,2008,manual,140,civic,90000,7,petrol,honda,no,10/03/2016 00:00,0,95615,10/03/2016 11:50
21/03/2016 14:44,1800,convertible,2001,auto,0,fortwo,100000,1,petrol,smart,no,21/03/2016 00:00,0,25479,22/03/2016 18:47
18/03/2016 08:37,1550,wagon,2001,manual,102,megane,150000,6,,renault,no,18/03/2016 00:00,0,42277,05/04/2016 22:15
12/03/2016 17:57,18999,sedan,2011,auto,211,other,150000,5,gasoline,jaguar,no,12/03/2016 00:00,0,71065,07/04/2016 10:16
16/03/2016 00:56,1350,small,2002,manual,75,corsa,150000,8,petrol,opel,no,16/03/2016 00:00,0,51065,22/03/2016 11:47
15/03/2016 12:38,14800,suv,2006,auto,224,touareg,150000,2,gasoline,volkswagen,,15/03/2016 00:00,0,94535,06/04/2016 00:16
04/04/2016 23:56,1095,sedan,1995,manual,102,other,150000,9,petrol,bmw,no,04/04/2016 00:00,0,31246,07/04/2016 08:16
10/03/2016 12:53,1500,sedan,1999,auto,116,e_klasse,150000,11,gasoline,mercedes_benz,yes,10/03/2016 00:00,0,26954,15/03/2016 02:46
22/03/2016 15:55,1200,sedan,2004,manual,0,focus,150000,7,petrol,ford,no,22/03/2016 00:00,0,81475,22/03/2016 16:41
09/03/2016 10:52,800,wagon,1998,manual,75,,150000,1,petrol,skoda,no,09/03/2016 00:00,0,17389,20/03/2016 01:18
12/03/2016 15:39,12699,wagon,2006,auto,231,3er,150000,7,gasoline,bmw,no,12/03/2016 00:00,0,28197,14/03/2016 07:16
18/03/2016 09:44,1800,wagon,2004,manual,170,mondeo,150000,12,petrol,ford,no,18/03/2016 00:00,0,6333,01/04/2016 23:47
17/03/2016 16:38,450,small,2001,,50,polo,150000,6,,volkswagen,,17/03/2016 00:00,0,84453,19/03/2016 16:16
24/03/2016 18:57,1000,sedan,1994,manual,75,vectra,150000,2,petrol,opel,no,24/03/2016 00:00,0,20539,30/03/2016 21:17
28/03/2016 18:48,2600,coupe,2003,manual,125,astra,125000,12,petrol,opel,no,28/03/2016 00:00,0,17235,01/04/2016 04:15
21/03/2016 18:45,1299,small,2001,manual,50,polo,150000,1,petrol,volkswagen,no,21/03/2016 00:00,0,6386,27/03/2016 03:44
09/03/2016 16:25,2690,bus,2004,manual,82,kangoo,150000,4,gasoline,renault,no,09/03/2016 00:00,0,65936,19/03/2016 16:18
19/03/2016 23:56,1000,,2016,manual,54,corsa,70000,10,,opel,yes,19/03/2016 00:00,0,1189,20/03/2016 06:49
04/04/2016 19:36,4250,small,2005,manual,64,polo,125000,9,petrol,volkswagen,,04/04/2016 00:00,0,30159,06/04/2016 21:45
23/03/2016 19:28,0,small,2002,manual,75,2_reihe,150000,0,petrol,peugeot,,23/03/2016 00:00,0,56288,06/04/2016 16:44
17/03/2016 20:36,2100,wagon,1995,manual,90,golf,150000,3,gasoline,volkswagen,no,17/03/2016 00:00,0,19258,07/04/2016 08:46
25/03/2016 07:54,7100,wagon,2004,,231,3er,150000,1,petrol,bmw,no,25/03/2016 00:00,0,22848,28/03/2016 07:46
04/04/2016 11:56,18000,wagon,2011,auto,245,5er,150000,1,gasoline,bmw,no,04/04/2016 00:00,0,34134,06/04/2016 13:15
15/03/2016 13:46,6500,bus,2008,manual,105,caddy,150000,5,gasoline,volkswagen,no,15/03/2016 00:00,0,4774,31/03/2016 09:46
16/03/2016 16:39,2400,small,2001,manual,58,agila,60000,7,petrol,opel,no,16/03/2016 00:00,0,44803,06/04/2016 20:18
23/03/2016 00:57,950,sedan,1999,manual,101,focus,150000,6,petrol,ford,no,23/03/2016 00:00,0,80939,26/03/2016 00:16
14/03/2016 09:55,700,wagon,2001,manual,125,laguna,150000,0,,renault,no,14/03/2016 00:00,0,6808,14/03/2016 10:42
03/04/2016 20:51,1499,sedan,1999,manual,75,golf,150000,4,petrol,volkswagen,no,03/04/2016 00:00,0,59872,05/04/2016 21:46
16/03/2016 19:57,4400,convertible,2005,manual,125,tigra,125000,3,petrol,opel,no,16/03/2016 00:00,0,63667,07/04/2016 05:45
07/03/2016 22:55,1700,small,2000,manual,56,,150000,0,petrol,opel,,07/03/2016 00:00,0,18276,05/04/2016 19:16
31/03/2016 15:53,0,coupe,2002,auto,216,clk,150000,0,petrol,mercedes_benz,,31/03/2016 00:00,0,26382,04/04/2016 09:16
23/03/2016 18:48,1500,suv,1999,manual,120,freelander,125000,4,petrol,land_rover,no,23/03/2016 00:00,0,8451,23/03/2016 18:48
20/03/2016 18:43,12499,coupe,2011,manual,122,scirocco,90000,7,petrol,volkswagen,no,20/03/2016 00:00,0,63538,07/04/2016 01:46
01/04/2016 08:45,950,sedan,1993,auto,90,golf,150000,9,,volkswagen,,01/04/2016 00:00,0,63452,05/04/2016 02:45
07/03/2016 17:44,19900,wagon,2010,auto,184,5er,80000,10,gasoline,bmw,no,07/03/2016 00:00,0,49536,17/03/2016 09:44
25/03/2016 10:39,4200,small,2009,manual,65,micra,80000,8,petrol,nissan,no,25/03/2016 00:00,0,6179,06/04/2016 09:46
24/03/2016 17:55,11500,wagon,2010,manual,140,passat,125000,9,gasoline,volkswagen,no,24/03/2016 00:00,0,25845,07/04/2016 11:16
08/03/2016 22:45,3000,small,2005,manual,75,other,150000,6,gasoline,fiat,no,08/03/2016 00:00,0,24939,06/04/2016 10:46
13/03/2016 22:42,13890,suv,2010,manual,140,tiguan,100000,10,gasoline,volkswagen,no,13/03/2016 00:00,0,17166,28/03/2016 15:16
06/03/2016 02:36,7999,,2016,manual,220,3er,150000,6,,bmw,no,06/03/2016 00:00,0,64739,06/04/2016 01:50
11/03/2016 00:32,6300,coupe,2000,auto,192,3er,150000,10,petrol,bmw,no,10/03/2016 00:00,0,65428,23/03/2016 12:48
17/03/2016 15:41,8200,convertible,2011,manual,69,500,90000,4,petrol,fiat,no,17/03/2016 00:00,0,49134,06/04/2016 22:45
28/03/2016 17:53,9950,convertible,2005,auto,163,slk,150000,3,petrol,mercedes_benz,no,28/03/2016 00:00,0,46395,06/04/2016 23:46
01/04/2016 14:46,8990,sedan,2005,auto,272,5er,150000,4,gasoline,bmw,yes,01/04/2016 00:00,0,67061,07/04/2016 11:45
31/03/2016 15:52,150,sedan,1995,,0,other,90000,3,petrol,skoda,,31/03/2016 00:00,0,31137,31/03/2016 16:41
29/03/2016 12:41,0,convertible,1997,manual,90,golf,150000,6,petrol,volkswagen,,29/03/2016 00:00,0,10365,31/03/2016 04:46
15/03/2016 16:50,4990,suv,2012,,0,tiguan,100000,11,gasoline,volkswagen,no,15/03/2016 00:00,0,31515,15/03/2016 16:50
02/04/2016 13:38,500,small,1997,manual,45,corsa,150000,8,petrol,opel,no,02/04/2016 00:00,0,53757,02/04/2016 13:38
08/03/2016 17:46,6800,sedan,2009,manual,90,astra,100000,7,petrol,opel,no,08/03/2016 00:00,0,78333,07/04/2016 09:17
30/03/2016 22:48,5500,convertible,2006,manual,110,megane,150000,5,petrol,renault,no,30/03/2016 00:00,0,47798,05/04/2016 14:18
18/03/2016 23:48,5500,small,2008,manual,69,500,70000,8,petrol,fiat,no,18/03/2016 00:00,0,9526,28/03/2016 02:47
04/04/2016 13:57,2399,sedan,2002,manual,109,3_reihe,125000,4,petrol,peugeot,no,04/04/2016 00:00,0,73614,04/04/2016 13:57
21/03/2016 15:59,3950,suv,2002,manual,150,other,150000,11,gasoline,hyundai,no,21/03/2016 00:00,0,37213,06/04/2016 15:44
01/04/2016 13:47,1750,small,2003,manual,60,fiesta,125000,8,petrol,ford,no,01/04/2016 00:00,0,58332,01/04/2016 13:47
27/03/2016 12:58,3200,small,2004,manual,101,polo,150000,6,gasoline,volkswagen,no,27/03/2016 00:00,0,34123,07/04/2016 09:16
03/04/2016 20:46,600,other,1998,manual,88,3_reihe,150000,5,,mazda,no,03/04/2016 00:00,0,6420,05/04/2016 21:44
07/03/2016 10:56,1449,sedan,1990,manual,109,other,150000,12,petrol,mercedes_benz,no,07/03/2016 00:00,0,17129,07/04/2016 07:15
03/04/2016 09:00,650,,2016,manual,150,passat,150000,2,,volkswagen,yes,03/04/2016 00:00,0,44579,07/04/2016 10:45
31/03/2016 20:54,2200,,2017,manual,75,kangoo,150000,11,petrol,renault,,31/03/2016 00:00,0,42107,31/03/2016 20:54
20/03/2016 12:49,3749,small,2007,manual,71,fortwo,125000,4,petrol,smart,no,20/03/2016 00:00,0,61350,06/04/2016 17:46
14/03/2016 20:47,17250,suv,2010,auto,197,sorento,100000,11,gasoline,kia,no,14/03/2016 00:00,0,53925,06/04/2016 09:44
03/04/2016 11:46,4850,small,2008,auto,68,1_reihe,50000,6,petrol,peugeot,no,03/04/2016 00:00,0,63755,07/04/2016 12:45
13/03/2016 11:41,2850,,2016,manual,150,a3,150000,7,petrol,audi,no,13/03/2016 00:00,0,23611,14/03/2016 22:16
02/04/2016 18:52,1700,small,1999,manual,105,3er,125000,3,,bmw,no,02/04/2016 00:00,0,12359,06/04/2016 18:47
21/03/2016 20:57,2350,wagon,2001,auto,0,5er,150000,6,gasoline,bmw,no,21/03/2016 00:00,0,78244,04/04/2016 14:17
29/03/2016 14:39,10300,coupe,2007,auto,224,clk,150000,3,gasoline,mercedes_benz,no,29/03/2016 00:00,0,50733,05/04/2016 23:47
02/04/2016 13:49,5900,sedan,2007,auto,136,e_klasse,150000,12,gasoline,mercedes_benz,no,02/04/2016 00:00,0,68526,06/04/2016 12:16
28/03/2016 08:37,5450,small,2009,manual,92,swift,50000,12,petrol,suzuki,no,28/03/2016 00:00,0,41516,06/04/2016 11:47
22/03/2016 12:36,2650,small,2009,manual,60,panda,125000,2,petrol,fiat,no,22/03/2016 00:00,0,13587,22/03/2016 13:43
19/03/2016 15:50,888,small,1999,,54,corsa,150000,6,petrol,opel,,19/03/2016 00:00,0,59199,07/04/2016 00:46
16/03/2016 18:54,1250,small,2001,manual,45,fortwo,20000,11,petrol,smart,,16/03/2016 00:00,0,58313,16/03/2016 18:54
15/03/2016 17:36,1550,sedan,1994,auto,95,other,150000,8,gasoline,mercedes_benz,no,15/03/2016 00:00,0,33104,22/03/2016 20:18
27/03/2016 23:36,4900,coupe,1999,auto,193,other,150000,8,petrol,chevrolet,no,27/03/2016 00:00,0,80538,06/04/2016 09:15
27/03/2016 23:52,800,small,1999,,0,focus,150000,2,petrol,ford,,27/03/2016 00:00,0,24768,06/04/2016 07:45
30/03/2016 08:32,3699,bus,1994,manual,77,transporter,150000,6,gasoline,volkswagen,no,30/03/2016 00:00,0,56330,06/04/2016 16:45
20/03/2016 20:36,4800,coupe,1989,manual,113,3er,150000,11,petrol,bmw,no,20/03/2016 00:00,0,97656,03/04/2016 05:46
05/03/2016 18:51,330,,2016,manual,75,fiesta,150000,0,,ford,no,05/03/2016 00:00,0,14806,05/04/2016 12:19
26/03/2016 19:48,900,sedan,1999,manual,0,astra,150000,4,petrol,opel,no,26/03/2016 00:00,0,49733,26/03/2016 19:48
07/04/2016 04:36,12498,wagon,2011,manual,179,6_reihe,125000,11,gasoline,mazda,no,07/04/2016 00:00,0,47259,07/04/2016 04:36
22/03/2016 16:38,0,,9999,,0,,10000,0,,sonstige_autos,,22/03/2016 00:00,0,32689,22/03/2016 16:38
11/03/2016 14:53,2299,small,2001,manual,75,polo,150000,1,gasoline,volkswagen,no,11/03/2016 00:00,0,33098,29/03/2016 05:46
25/03/2016 22:46,8700,sedan,2008,manual,170,a3,150000,3,,audi,,25/03/2016 00:00,0,97424,07/04/2016 05:45
07/03/2016 09:37,1400,small,2004,manual,75,corsa,150000,8,petrol,opel,no,07/03/2016 00:00,0,4931,28/03/2016 08:17
12/03/2016 10:57,8500,sedan,2006,auto,200,golf,125000,0,petrol,volkswagen,,12/03/2016 00:00,0,96250,23/03/2016 22:19
07/03/2016 14:55,4250,convertible,2006,manual,136,2_reihe,150000,3,petrol,peugeot,no,07/03/2016 00:00,0,32339,07/04/2016 06:46
26/03/2016 16:39,1390,small,1999,manual,75,civic,100000,7,petrol,honda,no,26/03/2016 00:00,0,40599,26/03/2016 16:39
07/03/2016 21:48,390,bus,1990,,0,,5000,1,,volkswagen,,07/03/2016 00:00,0,83104,07/03/2016 21:48
03/04/2016 17:37,2100,small,2003,manual,63,getz,70000,10,petrol,hyundai,no,03/04/2016 00:00,0,50389,05/04/2016 17:26
05/03/2016 17:39,2990,bus,2004,manual,135,scenic,125000,3,petrol,renault,no,05/03/2016 00:00,0,42853,07/04/2016 03:45
21/03/2016 15:57,800,small,2000,manual,59,niva,125000,11,petrol,lada,yes,21/03/2016 00:00,0,49497,21/03/2016 15:57
04/04/2016 22:49,2600,sedan,2001,manual,116,passat,150000,0,petrol,volkswagen,no,04/04/2016 00:00,0,94234,04/04/2016 22:49
15/03/2016 09:51,8700,convertible,1978,manual,71,,70000,12,petrol,sonstige_autos,no,15/03/2016 00:00,0,9481,05/04/2016 19:18
21/03/2016 17:54,1999,,2005,manual,116,bora,150000,1,gasoline,volkswagen,,21/03/2016 00:00,0,53572,21/03/2016 17:54
29/03/2016 14:45,1350,sedan,1995,manual,101,a4,150000,8,petrol,audi,no,29/03/2016 00:00,0,14513,06/04/2016 00:16
24/03/2016 12:51,2799,small,2007,manual,109,2_reihe,150000,5,gasoline,peugeot,no,24/03/2016 00:00,0,65549,26/03/2016 11:29
30/03/2016 15:52,0,sedan,1998,auto,110,golf,150000,3,gasoline,volkswagen,no,30/03/2016 00:00,0,16761,30/03/2016 15:52
09/03/2016 20:37,4990,wagon,2007,manual,136,4_reihe,150000,11,gasoline,peugeot,no,09/03/2016 00:00,0,53578,21/03/2016 04:17
04/04/2016 01:53,10500,sedan,2008,manual,159,e_klasse,150000,4,gasoline,mercedes_benz,no,03/04/2016 00:00,0,45768,06/04/2016 09:16
02/04/2016 14:39,13500,small,2011,manual,86,a1,40000,6,petrol,audi,no,02/04/2016 00:00,0,24937,06/04/2016 12:46
12/03/2016 11:45,3500,,2005,manual,231,astra,150000,3,,opel,,12/03/2016 00:00,0,31241,15/03/2016 14:46
04/04/2016 10:48,1100,coupe,1992,manual,125,cr_reihe,150000,10,petrol,honda,yes,04/04/2016 00:00,0,27628,06/04/2016 11:46
07/03/2016 10:55,6500,wagon,2008,manual,102,octavia,100000,1,petrol,skoda,no,07/03/2016 00:00,0,83022,11/03/2016 00:45
14/03/2016 19:44,2490,suv,2002,manual,124,other,150000,3,petrol,ford,no,14/03/2016 00:00,0,42719,15/03/2016 14:45
10/03/2016 20:37,0,,2018,manual,200,golf,150000,0,petrol,volkswagen,,10/03/2016 00:00,0,38364,11/03/2016 08:46
12/03/2016 17:58,5850,small,2011,manual,82,spark,30000,6,petrol,chevrolet,no,12/03/2016 00:00,0,51373,16/03/2016 22:15
31/03/2016 19:43,6450,sedan,2004,manual,150,3er,150000,6,gasoline,bmw,no,31/03/2016 00:00,0,89312,31/03/2016 19:43
05/04/2016 12:37,1450,small,2001,manual,80,punto,150000,11,petrol,fiat,no,05/04/2016 00:00,0,77656,05/04/2016 12:37
